Date,Open,High,Low,Close,Adj Close,Volume
2015-10-29,114.339996,115.400002,114.199997,115.040001,108.488518,6125100
2015-10-30,115.000000,115.239998,113.669998,113.739998,107.262558,8501600
2015-11-02,114.489998,115.309998,114.010002,115.040001,108.488518,6949500
2015-11-03,114.970001,116.400002,114.540001,115.540001,108.960052,7132100
2015-11-04,116.639999,116.830002,110.809998,113.250000,106.800453,20740800
2015-11-05,113.260002,113.930000,111.599998,113.000000,106.564697,14843700
2015-11-06,114.599998,116.750000,114.570000,115.669998,109.082642,16803400
2015-11-09,115.900002,116.730003,115.180000,116.419998,109.789925,9317500
2015-11-10,116.169998,117.510002,115.510002,117.419998,110.732971,8240500
2015-11-11,117.550003,117.580002,116.430000,116.519997,109.884232,6381700
2015-11-12,115.599998,116.989998,115.000000,116.209999,109.591873,7223000
2015-11-13,115.919998,116.419998,114.379997,114.839996,108.299904,8078100
2015-11-16,113.470001,116.080002,113.339996,115.919998,109.318405,5770200
2015-11-17,116.110001,117.550003,115.510002,116.129997,109.516449,6434400
2015-11-18,116.220001,118.279999,116.050003,118.139999,111.411972,6744600
2015-11-19,118.139999,119.160004,117.639999,118.709999,111.949516,6101000
2015-11-20,119.110001,120.250000,118.900002,120.070000,113.232056,10821700
2015-11-23,120.300003,120.650002,119.000000,119.419998,112.619080,6986400
2015-11-24,117.900002,118.570000,117.279999,117.949997,111.232788,9158200
2015-11-25,118.290001,119.339996,118.150002,118.669998,111.911797,4751500
2015-11-27,116.000000,116.500000,113.699997,115.129997,108.573380,14912000
2015-11-30,115.559998,115.580002,113.309998,113.470001,107.007942,16560300
2015-12-01,114.150002,115.459999,113.660004,115.389999,108.818588,8896100
2015-12-02,115.389999,115.470001,113.830002,114.000000,107.507751,7787800
2015-12-03,114.169998,114.650002,111.440002,111.889999,105.517906,10446600
2015-12-04,112.739998,114.309998,112.529999,114.239998,107.734070,8771300
2015-12-07,114.559998,114.559998,112.650002,113.830002,107.347420,6738500
2015-12-08,113.349998,113.449997,112.400002,112.480003,106.074303,7480600
2015-12-09,112.389999,113.059998,110.580002,111.470001,105.121834,9050700
2015-12-10,111.150002,111.580002,110.169998,110.760002,105.121834,7030200
2015-12-11,110.760002,110.760002,107.620003,108.040001,102.540298,12334900
2015-12-14,108.680000,109.870003,108.279999,109.349998,103.783607,9702600
2015-12-15,112.050003,113.349998,111.580002,112.160004,106.450562,13361700
2015-12-16,114.690002,114.750000,111.800003,113.790001,107.997581,12304500
2015-12-17,114.129997,114.480003,111.980003,112.010002,106.308205,9375000
2015-12-18,112.010002,112.440002,107.349998,107.720001,102.236588,28376900
2015-12-21,108.800003,110.099998,105.330002,106.589996,101.164093,22847200
2015-12-22,106.989998,107.199997,105.830002,106.739998,101.306465,8644500
2015-12-23,107.209999,107.239998,104.300003,105.559998,100.186531,12372900
2015-12-24,105.199997,106.639999,105.059998,105.860001,100.471260,4356100
2015-12-28,106.500000,108.199997,106.330002,107.250000,101.790497,9092700
2015-12-29,107.879997,108.040001,106.449997,107.080002,101.629150,8607200
2015-12-30,106.889999,107.209999,106.250000,106.339996,100.926811,4917000
2015-12-31,106.139999,106.309998,105.059998,105.080002,99.730965,6670100
2016-01-04,103.120003,103.430000,101.730003,102.980003,97.737862,12531500
2016-01-05,102.669998,102.669998,99.889999,100.900002,95.763756,16212900
2016-01-06,99.379997,101.459999,99.360001,100.360001,95.251228,13934500
2016-01-07,98.959999,101.349998,98.519997,99.500000,94.435020,14680200
2016-01-08,100.629997,100.919998,99.000000,99.250000,94.197739,10691600
2016-01-11,100.209999,100.449997,98.550003,99.919998,94.833633,9583200
2016-01-12,100.970001,101.849998,100.339996,101.459999,96.295235,8863900
2016-01-13,101.879997,101.879997,98.120003,98.480003,93.466934,11615400
2016-01-14,98.650002,99.910004,97.190002,99.110001,94.064865,11147500
2016-01-15,95.620003,96.879997,93.459999,93.900002,89.120079,22337000
2016-01-19,95.000000,95.070000,93.029999,93.970001,89.186516,13286800
2016-01-20,92.180000,93.639999,90.419998,92.540001,87.829315,16918100
2016-01-21,92.870003,94.860001,92.300003,94.019997,89.233963,12078200
2016-01-22,95.949997,97.419998,95.550003,96.900002,91.967369,12303800
2016-01-25,96.419998,96.680000,95.120003,95.290001,90.439323,7812200
2016-01-26,95.489998,96.430000,95.089996,96.269997,91.369431,6915600
2016-01-27,96.309998,96.629997,93.870003,94.320000,89.518707,6328900
2016-01-28,95.199997,95.199997,92.370003,93.529999,88.768913,7312700
2016-01-29,94.209999,95.820000,93.629997,95.820000,90.942345,8211600
2016-02-01,95.080002,95.709999,94.699997,95.150002,90.306442,7027200
2016-02-02,94.000000,94.169998,92.870003,93.120003,88.379784,7244400
2016-02-03,94.099998,95.410004,92.419998,95.139999,90.296959,10878000
2016-02-04,94.870003,96.730003,94.599998,95.430000,90.572197,8350300
2016-02-05,95.320000,95.389999,93.470001,93.900002,89.120079,8898500
2016-02-08,92.559998,92.959999,89.510002,92.120003,87.430695,13750100
2016-02-09,90.150002,93.199997,89.040001,92.320000,87.620514,19237400
2016-02-10,88.000000,90.029999,86.250000,88.849998,84.327148,32649800
2016-02-11,87.000000,91.059998,86.959999,90.309998,85.712822,17523800
2016-02-12,91.519997,91.589996,89.610001,91.150002,86.510063,10786100
2016-02-16,92.470001,93.309998,91.790001,92.910004,88.180481,9050900
2016-02-17,93.669998,96.440002,93.559998,95.500000,90.638626,12610000
2016-02-18,96.339996,96.449997,94.449997,95.169998,90.325417,8773900
2016-02-19,95.230003,95.720001,94.559998,95.010002,90.173569,6838200
2016-02-22,95.010002,97.000000,95.010002,96.370003,91.464340,6980400
2016-02-23,96.500000,96.820000,95.150002,95.379997,90.524734,6253800
2016-02-24,94.650002,95.750000,93.230003,95.430000,90.572197,6945600
2016-02-25,95.919998,95.949997,94.349998,95.650002,90.780991,4562300
2016-02-26,95.709999,96.220001,95.279999,95.309998,90.458305,5277000
2016-02-29,95.309998,96.290001,95.230003,95.519997,90.657616,7794400
2016-03-01,95.900002,97.660004,95.529999,97.650002,92.679184,7139900
2016-03-02,97.669998,97.830002,96.410004,97.000000,92.062279,6498600
2016-03-03,97.790001,98.839996,96.889999,98.820000,93.789627,8581300
2016-03-04,99.000000,99.209999,97.900002,98.480003,93.466934,6739800
2016-03-07,98.570000,99.709999,98.480003,99.389999,94.330612,7218700
2016-03-08,98.930000,98.980003,97.599998,97.820000,92.840530,6229300
2016-03-09,98.000000,98.239998,96.809998,97.660004,92.688683,7010700
2016-03-10,97.940002,98.419998,95.870003,97.040001,92.100243,5453500
2016-03-11,97.570000,98.349998,97.540001,97.940002,92.954437,5605800
2016-03-14,97.940002,99.220001,97.839996,98.809998,93.780136,6175000
2016-03-15,98.019997,98.330002,97.389999,98.239998,93.239151,5942400
2016-03-16,98.160004,99.080002,97.470001,98.440002,93.428970,6079400
2016-03-17,98.279999,99.910004,98.279999,99.599998,94.529922,6385600
2016-03-18,99.980003,100.150002,98.959999,99.199997,94.150284,10205100
2016-03-21,98.919998,99.120003,97.699997,98.459999,93.447952,7070300
2016-03-22,97.589996,98.320000,97.440002,97.580002,92.612747,6475700
2016-03-23,97.720001,97.849998,96.750000,96.830002,91.900932,5517700
2016-03-24,96.550003,97.489998,96.300003,97.220001,92.271072,5577700
2016-03-28,97.500000,98.459999,97.449997,98.089996,93.096779,5317100
2016-03-29,98.000000,98.370003,97.360001,98.160004,93.163231,5170800
2016-03-30,98.900002,99.089996,98.349998,98.910004,93.875046,5677500
2016-03-31,99.010002,100.370003,99.010002,99.309998,94.254692,7038800
2016-04-01,98.800003,99.339996,98.580002,99.070000,94.026901,5895500
2016-04-04,99.300003,99.440002,98.580002,98.680000,93.656754,5334700
2016-04-05,96.849998,97.610001,96.150002,97.000000,92.062279,10818800
2016-04-06,96.959999,97.629997,96.830002,97.480003,92.517830,6952400
2016-04-07,97.110001,97.419998,95.919998,96.160004,91.265038,7525400
2016-04-08,96.629997,96.839996,95.800003,96.419998,91.511795,6982700
2016-04-11,96.930000,97.639999,96.199997,96.269997,91.369431,5916600
2016-04-12,96.279999,97.529999,96.070000,97.349998,92.394455,6277200
2016-04-13,98.029999,99.809998,97.959999,99.480003,94.416023,7967400
2016-04-14,99.790001,99.870003,98.260002,98.629997,93.609291,6676200
2016-04-15,98.500000,98.889999,98.180000,98.589996,93.571327,6146800
2016-04-18,99.599998,101.949997,99.500000,101.480003,96.314217,10665200
2016-04-19,102.000000,103.639999,101.930000,102.639999,97.415169,10639800
2016-04-20,103.019997,103.480003,101.959999,103.269997,98.013092,7712000
2016-04-21,103.360001,104.120003,102.650002,102.910004,97.671425,6824800
2016-04-22,103.059998,103.989998,102.930000,103.769997,98.487656,5731300
2016-04-25,103.500000,104.620003,103.349998,104.570000,99.246933,6117100
2016-04-26,104.580002,105.570000,104.180000,104.889999,99.550644,6452900
2016-04-27,105.190002,105.599998,104.760002,105.279999,99.920776,5996100
2016-04-28,104.540001,105.489998,103.800003,104.029999,98.734421,5658300
2016-04-29,103.949997,104.209999,102.400002,103.260002,98.003609,7006900
2016-05-02,103.300003,104.570000,102.800003,104.360001,99.047615,5285700
2016-05-03,103.879997,103.989998,103.190002,103.779999,98.497147,6243300
2016-05-04,103.309998,104.480003,103.199997,103.669998,98.392731,6445100
2016-05-05,103.980003,105.129997,103.449997,104.930000,99.588608,6466000
2016-05-06,104.510002,105.739998,104.389999,105.540001,100.167549,7407500
2016-05-09,106.010002,106.680000,104.970001,105.339996,99.977730,8130300
2016-05-10,105.529999,106.750000,105.449997,106.599998,101.173592,15177200
2016-05-11,101.459999,102.500000,100.620003,102.290001,97.082993,27068100
2016-05-12,102.500000,102.849998,101.129997,101.709999,96.532501,11251700
2016-05-13,101.709999,102.040001,100.360001,100.519997,95.403084,9570200
2016-05-16,100.410004,100.669998,99.370003,100.360001,95.251228,9113000
2016-05-17,100.790001,101.290001,99.550003,99.940002,94.852623,8694400
2016-05-18,99.589996,99.769997,98.360001,99.000000,93.960464,9323100
2016-05-19,98.580002,98.610001,97.510002,98.410004,93.400513,7063500
2016-05-20,99.000000,99.930000,98.769997,99.779999,94.700760,7297000
2016-05-23,99.599998,100.330002,99.120003,99.180000,94.131302,5588600
2016-05-24,99.449997,100.040001,99.379997,99.510002,94.444511,5250800
2016-05-25,99.919998,100.800003,99.809998,99.860001,94.776688,5667300
2016-05-26,99.889999,100.489998,99.570000,99.809998,94.729233,3852600
2016-05-27,99.809998,100.529999,99.809998,100.290001,95.184799,4589100
2016-05-31,99.849998,99.889999,98.570000,99.220001,94.169266,10396200
2016-06-01,98.669998,98.989998,97.730003,98.519997,93.504898,7243900
2016-06-02,98.070000,98.720001,97.870003,98.720001,93.694710,4830100
2016-06-03,98.660004,98.919998,97.730003,98.750000,93.723190,6857500
2016-06-06,98.959999,99.120003,98.470001,98.779999,93.751663,4986600
2016-06-07,99.000000,99.040001,98.320000,98.349998,93.343552,5608400
2016-06-08,98.489998,98.820000,97.699997,98.040001,93.049332,5466200
2016-06-09,97.820000,97.930000,97.099998,97.839996,92.859497,5379400
2016-06-10,97.150002,97.709999,96.779999,97.339996,92.384964,7204400
2016-06-13,96.750000,98.980003,96.699997,97.570000,92.603256,8766300
2016-06-14,97.199997,98.550003,97.180000,98.400002,93.391014,6125700
2016-06-15,98.190002,99.000000,98.190002,98.269997,93.267624,6663200
2016-06-16,97.800003,98.629997,96.860001,98.379997,93.372025,7129700
2016-06-17,98.410004,99.139999,98.269997,99.000000,93.960464,8959400
2016-06-20,100.080002,100.959999,99.500000,99.570000,94.501457,8268600
2016-06-21,99.730003,99.790001,98.769997,98.820000,93.789627,5202500
2016-06-22,99.080002,99.620003,98.699997,98.790001,93.761154,4948900
2016-06-23,99.440002,99.620003,98.610001,99.019997,93.979439,5826100
2016-06-24,96.010002,97.279999,95.139999,95.720001,90.847435,15079900
2016-06-27,94.910004,95.230003,94.000000,94.379997,89.575638,9438400
2016-06-28,95.459999,96.279999,95.139999,96.050003,91.160629,7143100
2016-06-29,96.910004,97.290001,96.279999,96.980003,92.043289,6563600
2016-06-30,97.099998,98.070000,96.879997,97.820000,92.840530,7189500
2016-07-01,97.750000,98.639999,97.709999,98.029999,93.039841,5681600
2016-07-05,97.769997,98.000000,97.169998,97.660004,92.688683,5846400
2016-07-06,97.000000,98.519997,96.760002,98.449997,93.438461,6223300
2016-07-07,97.629997,98.480003,97.580002,98.410004,94.078979,5146000
2016-07-08,99.250000,99.849998,98.769997,99.620003,95.235725,6045800
2016-07-11,99.800003,100.349998,99.400002,99.980003,95.579880,5428000
2016-07-12,100.180000,100.790001,100.000000,100.199997,95.790199,8508500
2016-07-13,100.459999,100.800003,99.849998,99.879997,95.484276,5494700
2016-07-14,100.419998,100.800003,99.680000,99.970001,95.570320,7461500
2016-07-15,100.419998,100.540001,99.540001,99.800003,95.407806,5764400
2016-07-18,99.900002,100.709999,99.870003,100.150002,95.742401,5051300
2016-07-19,99.809998,99.989998,99.360001,99.470001,95.092323,5742700
2016-07-20,98.650002,98.690002,97.139999,98.220001,93.897339,10664900
2016-07-21,98.169998,99.129997,97.620003,98.010002,93.696571,6726600
2016-07-22,98.389999,98.419998,97.470001,97.709999,93.409782,5381700
2016-07-25,97.900002,98.059998,97.250000,97.389999,93.103867,4825500
2016-07-26,97.019997,97.160004,96.339996,96.690002,92.434677,6274800
2016-07-27,96.699997,96.930000,95.860001,96.330002,92.090530,6911400
2016-07-28,96.400002,96.489998,95.820000,95.910004,91.689003,7713500
2016-07-29,95.849998,96.379997,95.849998,95.949997,91.727242,8264000
2016-08-01,96.150002,96.199997,95.080002,95.540001,91.335289,7131600
2016-08-02,95.349998,95.750000,94.559998,95.010002,90.828606,7644100
2016-08-03,95.059998,96.430000,95.000000,96.089996,91.861076,9068700
2016-08-04,95.529999,95.980003,94.709999,95.160004,90.972008,10038300
2016-08-05,95.400002,96.000000,95.349998,95.830002,91.612526,6528500
2016-08-08,96.110001,96.290001,95.580002,95.750000,91.536049,7792000
2016-08-09,95.610001,96.849998,95.300003,96.669998,92.415550,15548700
2016-08-10,96.699997,99.269997,95.849998,97.860001,93.553185,27181300
2016-08-11,98.199997,98.389999,97.150002,97.769997,93.467140,9233900
2016-08-12,97.820000,97.820000,96.660004,96.839996,92.578072,9360300
2016-08-15,97.349998,97.610001,96.919998,97.099998,92.826622,5299600
2016-08-16,96.860001,97.250000,96.269997,96.879997,92.616310,5777800
2016-08-17,96.839996,96.970001,96.519997,96.870003,92.606758,5697300
2016-08-18,96.870003,97.120003,96.550003,96.650002,92.396423,5250700
2016-08-19,96.400002,96.790001,96.050003,96.389999,92.147873,6362400
2016-08-22,96.470001,96.470001,95.650002,95.870003,91.650764,5495300
2016-08-23,96.129997,96.430000,95.800003,95.970001,91.746368,4996300
2016-08-24,96.010002,96.220001,95.510002,95.820000,91.602966,5912500
2016-08-25,95.620003,95.820000,95.410004,95.550003,91.344849,4518700
2016-08-26,95.660004,96.129997,94.750000,95.209999,91.019806,6019600
2016-08-29,95.070000,95.320000,94.459999,94.870003,90.694778,7903000
2016-08-30,94.769997,95.290001,94.769997,94.860001,90.685211,6845000
2016-08-31,94.690002,94.900002,94.160004,94.459999,90.302818,7375200
2016-09-01,94.730003,94.870003,93.910004,94.260002,90.111610,6274200
2016-09-02,94.750000,94.959999,94.129997,94.419998,90.264572,5382000
2016-09-06,94.529999,94.529999,93.349998,93.800003,89.671867,8463500
2016-09-07,93.980003,94.029999,93.330002,93.709999,89.585823,6281500
2016-09-08,93.489998,94.209999,92.930000,94.089996,89.949097,7438100
2016-09-09,93.510002,93.739998,92.389999,92.419998,88.352592,10248400
2016-09-12,91.959999,93.860001,91.949997,93.639999,89.518906,9367300
2016-09-13,93.040001,93.300003,92.449997,92.699997,88.620270,7795200
2016-09-14,92.589996,92.889999,92.070000,92.260002,88.199638,6386500
2016-09-15,92.120003,92.750000,91.190002,92.500000,88.429070,7559400
2016-09-16,92.269997,92.739998,91.800003,92.559998,88.486443,10568600
2016-09-19,92.800003,93.320000,92.339996,92.629997,88.553345,5421500
2016-09-20,92.699997,93.300003,92.680000,92.949997,88.859268,6200100
2016-09-21,93.000000,93.080002,91.699997,92.389999,88.323921,12049500
2016-09-22,92.730003,93.709999,92.639999,93.410004,89.299026,6470700
2016-09-23,93.070000,93.519997,93.000000,93.269997,89.165176,4407700
2016-09-26,92.470001,92.680000,91.400002,91.959999,87.912842,10449300
2016-09-27,91.930000,92.180000,91.500000,91.720001,87.683403,9167400
2016-09-28,91.750000,92.300003,91.480003,92.199997,88.142281,8272300
2016-09-29,92.139999,93.099998,91.529999,91.800003,87.759888,7476600
2016-09-30,92.279999,93.489998,92.209999,92.860001,88.773232,8923700
2016-10-03,92.470001,92.720001,92.050003,92.489998,88.419510,5834700
2016-10-04,92.449997,92.989998,92.110001,92.589996,88.515121,5903400
2016-10-05,92.940002,93.279999,92.379997,92.449997,88.381279,5365000
2016-10-06,92.750000,93.580002,92.389999,92.830002,88.744560,7484800
2016-10-07,93.059998,93.290001,92.019997,92.489998,88.419510,6144100
2016-10-10,92.699997,93.209999,92.400002,92.489998,88.419510,4241000
2016-10-11,92.330002,92.379997,91.570000,91.860001,87.817253,6651100
2016-10-12,91.879997,92.080002,91.389999,91.410004,87.387054,6836600
2016-10-13,90.949997,91.360001,90.320000,91.120003,87.109818,5725200
